address,full_address,HDB_latitude,HDB_longitude,Nearest_MRT_ID,Nearest_MRT,MRT_latitude,MRT_longitude,Nearest_bus_stop_ID,Nearest_bus_stop,bus_stop_latitude,bus_stop_longitude,Distance_m_Nearest_MRT,Distance_m_Nearest_bus_stop
181B BOON LAY DR,181B BOON LAY DRIVE BOON LAY MEADOW SINGAPORE 642181,1.348793505,103.7084177,EW27,BOON LAY MRT STATION,1.338642112,103.7061638,21381,ST. JOSEPH'S HME,1.34964653,103.7086071,1150.1738,96.64910091
180D RIVERVALE CRES,180D RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 544180,1.389358495,103.9103981,SE2,RUMBIA LRT STATION,1.391433422,103.9060064,67661,OPP 178A,1.388894,103.908784,539.9129748,186.8259709
430C FERNVALE LINK,430C FERNVALE LINK FERNVALE RIDGE SINGAPORE 793430,1.394589763,103.8782814,SW6,LAYAR LRT STATION,1.392083066,103.8800681,67569,BLK 432A,1.39504999,103.877,341.1207463,151.411064
450C SENGKANG WEST WAY,450C SENGKANG WEST WAY FERNVALE CREST SINGAPORE 793450,1.393814531,103.8733643,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,68029,BLK 448A,1.39312162,103.8726496,388.6251126,110.4417257
433B SENGKANG WEST WAY,433B SENGKANG WEST WAY FERNVALE PALMS SINGAPORE 792433,1.393888943,103.8774946,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,67569,BLK 432A,1.39504999,103.877,255.86509,139.6845899
987B BUANGKOK GREEN,987B BUANGKOK GREEN BUANGKOK VALE SINGAPORE 532987,1.379392247,103.8782839,SW7,TONGKANG LRT STATION,1.389262584,103.8858115,66481,OPP BLK 968,1.37918666,103.8783096,1375.850253,22.91225617
211D PUNGGOL WALK,211D PUNGGOL WALK PUNGGOL RIPPLES SINGAPORE 824211,1.400935632,103.8991985,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,480.5383681,222.120177
211A PUNGGOL WALK,211A PUNGGOL WALK BUSY BEES SINGAPORE 821211,1.401759843,103.8999444,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65349,BLK 272C,1.40222089,103.9007796,357.4624318,106.0124418
210B PUNGGOL PL,210B PUNGGOL PLACE PUNGGOL CREST SINGAPORE 822210,1.400186245,103.900097,NE17,PUNGGOL MRT STATION,1.404287566,103.9019468,65341,OPP BLK 272C,1.40194694,103.900923,498.0387479,215.3004607
180B RIVERVALE CRES,180B RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 542180,1.389947187,103.9094499,SE2,RUMBIA LRT STATION,1.391433422,103.9060064,67661,OPP 178A,1.388894,103.908784,416.9683907,138.0346053
432B SENGKANG WEST WAY,432B SENGKANG WEST WAY FERNVALE PALMS SINGAPORE 792432,1.393972329,103.8771353,SW5,FERNVALE LRT STATION,1.391911673,103.8763003,67569,BLK 432A,1.39504999,103.877,246.0766678,120.1098177
178A RIVERVALE CRES,178A RIVERVALE CRESCENT E-BRIDGE PRE-SCHOOL PTE. LTD. SINGAPORE 541178,1.388973236,103.9096516,SE3,BAKAU LRT STATION,1.387992934,103.905414,67661,OPP 178A,1.388894,103.908784,483.8872783,96.94820538
886D WOODLANDS DR 50,886D WOODLANDS DRIVE 50 TREEGROVE@WOODLANDS SINGAPORE 734886,1.437925558,103.7946196,NS10,ADMIRALTY MRT STATION,1.440538153,103.8009776,46671,BEF 888 PLAZA,1.43689166,103.7946223,764.2509897,114.3236516
